id;brand;image_path;redirect_url;active;created_at;updated_at
1;where besides gee;blah;greatly gosh;true;2024-10-14T03:23:36;2024-10-14T12:42:10
2;fine;but;dreamily to;false;2024-10-14T02:10:02;2024-10-13T21:41:42
3;premise;redraw;steak really regulate;true;2024-10-13T18:24:15;2024-10-13T21:35:35
4;darn frankly;yippee truly fortunately;how;false;2024-10-13T23:37:50;2024-10-13T18:33:29
5;amongst gosh;eek inculcate;when consequently uh-huh;true;2024-10-14T12:31:06;2024-10-13T19:02:34
6;inside afore;that grandiose hmph;sheepishly scented aside;false;2024-10-13T20:34:45;2024-10-13T15:06:54
7;huzzah towards;consequently but likewise;and outrank sleepily;false;2024-10-14T04:47:20;2024-10-14T13:47:06
8;sad around sightseeing;mature asset;hence oof;true;2024-10-13T21:45:29;2024-10-14T04:36:44
9;an bad pastel;out scarper;antique unabashedly;false;2024-10-14T09:49:39;2024-10-13T21:34:14
10;rebuke;why;around;false;2024-10-13T16:32:17;2024-10-14T12:47:39
