id;title;type;description;guideline_url;image_path;usage_count;created_at;updated_at
1;elegantly super aside;PRIVATE;../fake-data/blob/hipster.txt;by down loose;altruistic;12748;2024-10-14T02:22:08;2024-10-14T13:11:04
2;ick colligate however;PRIVATE;../fake-data/blob/hipster.txt;mount swim till;phooey hose;32737;2024-10-14T05:24:17;2024-10-13T23:13:19
3;chromakey;RESTRICTED;../fake-data/blob/hipster.txt;muddy elegant nor;individual bobble;10376;2024-10-13T15:28:53;2024-10-13T16:49:21
4;likable wire;PRIVATE;../fake-data/blob/hipster.txt;however across;orientate blossom;15662;2024-10-13T17:30:27;2024-10-14T12:30:03
5;amongst;PRIVATE;../fake-data/blob/hipster.txt;fully;before atop yin;29873;2024-10-14T00:30:10;2024-10-14T10:54:29
6;sidetrack along at;RESTRICTED;../fake-data/blob/hipster.txt;amidst inside instead;inure unbearably mmm;10996;2024-10-14T04:01:35;2024-10-13T21:13:56
7;nicely overcharge;PRIVATE;../fake-data/blob/hipster.txt;behest nimble colorfully;wallaby brush;15671;2024-10-13T23:43:58;2024-10-14T10:36:29
8;almighty;PUBLIC;../fake-data/blob/hipster.txt;wherever wretched;although;22421;2024-10-13T20:33:09;2024-10-13T19:35:53
9;radiant;PUBLIC;../fake-data/blob/hipster.txt;heartfelt;deduct;2346;2024-10-14T02:27:55;2024-10-14T04:40:59
10;bitterly;RESTRICTED;../fake-data/blob/hipster.txt;uh-huh basket;furthermore;5992;2024-10-14T05:10:09;2024-10-14T01:22:18
